Account ID,SAUCE Amount,Airdrop Status,Airdrop TX ID
0.0.820741,2530.510044,SUCCESS, 0.0.4138717@1701632773.682336863
0.0.204362,1.307066543,SUCCESS, 0.0.4138717@1701632794.880986770
0.0.1441316,25.04842909,SUCCESS, 0.0.4138717@1701632799.811795780
0.0.848650,3.594750815,SUCCESS, 0.0.4138717@1701632804.500844870
0.0.3962675,14634.06864,SUCCESS, 0.0.4138717@1701632810.787299541
0.0.622222,372.2628976,SUCCESS, 0.0.4138717@1701632822.888534899
0.0.836658,2408.864794,SUCCESS, 0.0.4138717@1701632828.808489705
0.0.3005275,0.360129945,SUCCESS, 0.0.4138717@1701632841.375949408
0.0.841014,0.097943723,SUCCESS, 0.0.4138717@1701632850.172118211
0.0.833306,3919.042315,SUCCESS, 0.0.4138717@1701632855.661412507
0.0.1899744,1.005001956,SUCCESS, 0.0.4138717@1701632870.688544248
0.0.3288680,14.09821408,SUCCESS, 0.0.4138717@1701632887.791949576
0.0.684055,3.547607364,SUCCESS, 0.0.4138717@1701632903.154558914
0.0.836688,401.5174844,SUCCESS, 0.0.4138717@1701632917.170855420
0.0.3845966,45.65741152,SUCCESS, 0.0.4138717@1701632930.531615736
0.0.3948479,2.697334779,NOT_ASSOCIATED,
0.0.3961176,0.810676645,NOT_ASSOCIATED,
0.0.2964532,2.314318778,NOT_ASSOCIATED,
0.0.829414,24.47645171,SUCCESS, 0.0.4138717@1701635373.817389703
0.0.982545,3.775912439,SUCCESS, 0.0.4138717@1701635376.543685621
0.0.732516,25.60495416,SUCCESS, 0.0.4138717@1701635381.755527574
0.0.1037917,0.668895524,SUCCESS, 0.0.4138717@1701635387.550462770
0.0.1082789,8339.585465,SUCCESS, 0.0.4138717@1701635388.854783806
0.0.1077700,502.7374626,SUCCESS, 0.0.4138717@1701635400.284791219
0.0.512814,3.712362681,SUCCESS, 0.0.4138717@1701635405.513567489
0.0.1282050,1535.270749,SUCCESS, 0.0.4138717@1701635408.355902880
0.0.690873,21.5223321,SUCCESS, 0.0.4138717@1701635417.105055204
0.0.1067361,12495.00132,SUCCESS, 0.0.4138717@1701635421.629021483
0.0.2141800,3.547356496,SUCCESS, 0.0.4138717@1701635426.926900248
0.0.1399945,1.154247366,SUCCESS, 0.0.4138717@1701635431.081127217
0.0.886182,55.84293119,SUCCESS, 0.0.4138717@1701635436.940408006
0.0.338877,222.5894278,SUCCESS, 0.0.4138717@1701635444.010102296
0.0.732720,1.733518765,SUCCESS, 0.0.4138717@1701635448.766558410
0.0.731707,188.7370602,SUCCESS, 0.0.4138717@1701635452.895983617
0.0.1465114,0.146493176,SUCCESS, 0.0.4138717@1701635457.253937476
0.0.943248,32.55855334,SUCCESS, 0.0.4138717@1701635464.707653333
0.0.1487109,1336.962373,SUCCESS, 0.0.4138717@1701635470.165132180
0.0.585529,0.356994707,SUCCESS, 0.0.4138717@1701635472.781837456
0.0.964888,0.000945296,SUCCESS, 0.0.4138717@1701635479.778434823
0.0.651457,648.658795,SUCCESS, 0.0.4138717@1701635483.035757648
0.0.1433179,0.027789026,SUCCESS, 0.0.4138717@1701635493.861924135
0.0.1057328,3.220932611,SUCCESS, 0.0.4138717@1701635502.380712931
0.0.731977,16.66518724,SUCCESS, 0.0.4138717@1701635504.009397234
0.0.842540,0.002702403,SUCCESS, 0.0.4138717@1701635511.288835698
0.0.1054756,8134.561988,SUCCESS, 0.0.4138717@1701635516.519361563
0.0.835588,3.39E-07,SUCCESS, 0.0.4138717@1701635526.675672476
0.0.1078483,3182.070138,SUCCESS, 0.0.4138717@1701635532.665405051
0.0.1071830,2.680371069,SUCCESS, 0.0.4138717@1701635538.759059508
0.0.904709,267.7459163,SUCCESS, 0.0.4138717@1701635546.411357554
0.0.1008009,12474.72576,SUCCESS, 0.0.4138717@1701635550.967374174
0.0.826747,1.171662025,SUCCESS, 0.0.4138717@1701635557.812501577
0.0.3929354,148.9790203,SUCCESS, 0.0.4138717@1701635561.636450046
0.0.835827,51.64064278,SUCCESS, 0.0.4138717@1701635566.047079726
0.0.3965633,0.061314556,SUCCESS, 0.0.4138717@1701635573.081222839
0.0.1075172,21.75135221,SUCCESS, 0.0.4138717@1701635578.944194547
0.0.850535,0.12717762,SUCCESS, 0.0.4138717@1701635583.486599181
0.0.858824,1.794967251,SUCCESS, 0.0.4138717@1701635590.891292591
0.0.7916,4.136272555,SUCCESS, 0.0.4138717@1701635592.184454618
0.0.837749,103.2163277,SUCCESS, 0.0.4138717@1701635597.814892635
0.0.814196,0.08428145,SUCCESS, 0.0.4138717@1701635602.665593276
0.0.885454,5.303748687,SUCCESS, 0.0.4138717@1701635609.560795347
0.0.1424665,1.92E-07,SUCCESS, 0.0.4138717@1701635621.120656711
0.0.1081106,0.023713332,SUCCESS, 0.0.4138717@1701635624.626991497
0.0.985573,0.431408975,SUCCESS, 0.0.4138717@1701635630.678815382
0.0.831203,0.002634544,SUCCESS, 0.0.4138717@1701635634.734971981
0.0.821010,0.004662774,SUCCESS, 0.0.4138717@1701635636.388403844
0.0.1421971,5.58354994,SUCCESS, 0.0.4138717@1701635647.445154435
0.0.663424,0.000443026,SUCCESS, 0.0.4138717@1701635654.053065481
0.0.565201,3397.723735,SUCCESS, 0.0.4138717@1701635663.061148323
