Account ID,Token ID,Airdrop Amount,Airdrop Status,Pools,Airdrop TX ID
0.0.697581,0.0.731861,14.41618574,SUCCESS,0.0.3964790,0.0.4138717@1721149842.083341294
0.0.3000963,0.0.731861,0.269218042,SUCCESS,0.0.3964790,0.0.4138717@1721149845.793810643
0.0.3774696,0.0.731861,4.10E-12,SUCCESS,0.0.3964790,0.0.4138717@1721149845.613796035
0.0.4819535,0.0.731861,1.83E-11,SUCCESS,0.0.3964790,0.0.4138717@1721149845.936311598
0.0.732798,0.0.731861,0.157631455,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1721149847.037207664
0.0.4360457,0.0.731861,7.87E-10,SUCCESS,0.0.3964790,0.0.4138717@1721149843.785530686
0.0.4325755,0.0.731861,0.037919771,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964855,0.0.4138717@1721149846.177041468
0.0.1391028,0.0.731861,3.092828007,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1721149844.871763477
0.0.3304469,0.0.731861,0.109519297,SUCCESS,0.0.3964790&0.0.3964827&0.0.3964855,0.0.4138717@1721149849.739869581
0.0.5374006,0.0.731861,4.89E-11,SUCCESS,0.0.3964790,0.0.4138717@1721149847.082008649
0.0.858310,0.0.731861,2.38E-10,SUCCESS,0.0.3964790,0.0.4138717@1721149846.762255349
0.0.4540904,0.0.731861,1.943832549,SUCCESS,0.0.3964790&0.0.3964855&0.0.3964804,0.0.4138717@1721149851.028778629
0.0.5084293,0.0.731861,0.021555834,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964855,0.0.4138717@1721149852.322603529
0.0.2023508,0.0.731861,0.005547217,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1721149849.673931621
0.0.1459068,0.0.731861,3.028882766,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1721149853.200825620
0.0.4319631,0.0.731861,0.000127577,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1721149852.104887505
0.0.2960424,0.0.731861,1.225871885,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149852.656670626
0.0.4202231,0.0.731861,11.16514026,SUCCESS,0.0.3964790&0.0.3964860,0.0.4138717@1721149854.202046505
0.0.1893652,0.0.731861,4.62E-10,SUCCESS,0.0.3964790,0.0.4138717@1721149853.247360485
0.0.6132505,0.0.731861,5.992697865,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1721149851.462418238
0.0.4348319,0.0.731861,2.34E-09,SUCCESS,0.0.3964790,0.0.4138717@1721149855.772421355
0.0.1458777,0.0.731861,3.84E-09,SUCCESS,0.0.3964790,0.0.4138717@1721149854.689586321
0.0.3938365,0.0.731861,1.683445954,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1721149856.228831993
0.0.2141800,0.0.731861,0.017672365,SUCCESS,0.0.3964790&0.0.3964855,0.0.4138717@1721149856.087164161
0.0.663264,0.0.731861,0.136023071,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149853.518289392
0.0.4324463,0.0.731861,0.002590246,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149855.604684600
0.0.4713784,0.0.731861,0.365767602,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1721149856.814314724
0.0.4203261,0.0.731861,0.007571523,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149855.862756274
0.0.4759022,0.0.731861,5.47E-11,SUCCESS,0.0.3964790,0.0.4138717@1721149856.506958265
0.0.5724627,0.0.731861,0.223074582,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1721149860.391282149
0.0.4384266,0.0.731861,4.50E-10,SUCCESS,0.0.3964790,0.0.4138717@1721149860.521571820
0.0.4325800,0.0.731861,0.618217287,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964804,0.0.4138717@1721149860.405150440
0.0.4205079,0.0.731861,1.29E-09,SUCCESS,0.0.3964790,0.0.4138717@1721149861.938139729
0.0.4582675,0.0.731861,0.132737973,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1721149862.054913449
0.0.4337852,0.0.731861,3.60E-09,SUCCESS,0.0.3964790,0.0.4138717@1721149861.843971897
0.0.4331750,0.0.731861,0.440220556,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149860.543131430
0.0.5779439,0.0.731861,0.060203948,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149862.186959202
0.0.6043615,0.0.731861,0.440200301,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827&0.0.3964855&0.0.3964804,0.0.4138717@1721149860.445749797
0.0.4326204,0.0.731861,6.684994032,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1721149862.832492424
0.0.4207604,0.0.731861,0.979375158,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1721149865.595172277
0.0.5825867,0.0.731861,1.39E-07,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149861.552133342
0.0.4308701,0.0.731861,372.8174811,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117,0.0.4138717@1721149864.264864988
0.0.4693932,0.0.731861,5.56E-08,SUCCESS,0.0.3964790,0.0.4138717@1721149864.561702815
0.0.4330219,0.0.731861,0.003646236,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149863.429469189
0.0.831944,0.0.731861,3.77E-08,SUCCESS,0.0.3964790,0.0.4138717@1721149864.927317518
0.0.4390796,0.0.731861,0.006929672,SUCCESS,0.0.3964790,0.0.4138717@1721149866.810272066
0.0.1024843,0.0.731861,1.05E-07,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964855&0.0.3964804&0.0.3964860,0.0.4138717@1721149866.587949394
0.0.3903731,0.0.731861,1.03629E-06,NOT_ASSOCIATED,0.0.3964790&0.0.3951117&0.0.3964827,
0.0.3926190,0.0.731861,7.08E-07,SUCCESS,0.0.3964790,0.0.4138717@1721149867.213322770
0.0.1924811,0.0.731861,0.015168813,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149867.894786720
0.0.3947850,0.0.731861,2.32334E-05,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149868.389879019
0.0.790151,0.0.731861,10.15965558,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1721149869.387113439
