account,token address,amount,state,pool address,tx id
0.0.1018824,0.0.731861,96.83291124,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964837&0.0.3964855&0.0.6071074,0.0.4138717@1722282508.935132809
0.0.835079,0.0.731861,1.20838E-05,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1722282508.151479144
0.0.4317784,0.0.731861,0.043808373,SUCCESS,0.0.3964790,0.0.4138717@1722282509.036087813
0.0.1386381,0.0.731861,76.18496054,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1722282511.418127239
0.0.835202,0.0.731861,1.15E-08,SUCCESS,0.0.3964790,0.0.4138717@1722282508.871622488
0.0.847471,0.0.731861,3.017931555,SUCCESS,0.0.3964790,0.0.4138717@1722282513.130102389
0.0.4345189,0.0.731861,3.071947988,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1722282514.040575231
0.0.4239072,0.0.731861,16.94573871,SUCCESS,0.0.3964790,0.0.4138717@1722282514.740269647
0.0.2150506,0.0.731861,0.001973879,SUCCESS,0.0.3964790,0.0.4138717@1722282513.816931278
0.0.1018894,0.0.731861,0.025153582,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282511.540610098
0.0.639696,0.0.731861,0.02218169,SUCCESS,0.0.3964790,0.0.4138717@1722282513.227403420
0.0.1314568,0.0.731861,4907.654626,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282511.983188304
0.0.920901,0.0.731861,0.000209189,SUCCESS,0.0.3964790,0.0.4138717@1722282515.449768153
0.0.837751,0.0.731861,5.85E-08,SUCCESS,0.0.3964790,0.0.4138717@1722282513.974181783
0.0.624669,0.0.731861,0.036261521,SUCCESS,0.0.3964790,0.0.4138717@1722282515.063035678
0.0.2117864,0.0.731861,0.085490734,SUCCESS,0.0.3964790,0.0.4138717@1722282519.441327216
0.0.4349304,0.0.731861,0.170145131,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1722282518.967094516
0.0.1358086,0.0.731861,5.493017147,SUCCESS,0.0.3964790,0.0.4138717@1722282517.020489482
0.0.4342200,0.0.731861,0.054790035,SUCCESS,0.0.3964790,0.0.4138717@1722282517.179908930
0.0.4357873,0.0.731861,6.284255322,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117,0.0.4138717@1722282518.270229542
0.0.4358173,0.0.731861,36.28750603,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1722282520.524944075
0.0.4357832,0.0.731861,16.46803954,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1722282519.455069329
0.0.3597846,0.0.731861,4.890362283,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1722282517.940824483
0.0.4368465,0.0.731861,0.009716967,SUCCESS,0.0.3964790,0.0.4138717@1722282519.258010810
0.0.4157394,0.0.731861,5.05E-07,SUCCESS,0.0.3964790,0.0.4138717@1722282521.792995942
0.0.4363785,0.0.731861,4.116442905,SUCCESS,0.0.3964790,0.0.4138717@1722282522.032779382
0.0.4348956,0.0.731861,0.114746974,SUCCESS,0.0.3964790,0.0.4138717@1722282523.079925885
0.0.1703452,0.0.731861,223.0031486,SUCCESS,0.0.3964790&0.0.3964837&0.0.3964804,0.0.4138717@1722282520.845275401
0.0.697581,0.0.731861,15.1186802,SUCCESS,0.0.3964790,0.0.4138717@1722282524.511449428
0.0.3000963,0.0.731861,0.024168253,SUCCESS,0.0.3964790,0.0.4138717@1722282522.435476044
0.0.3774696,0.0.731861,2.2058E-05,SUCCESS,0.0.3964790,0.0.4138717@1722282521.873431604
